Age,Gender,Hydration_Level,Oil_Level,Sensitivity,Humidity,Temperature,Skin_Type,skin_score,skin_age
43,Male,Medium,Medium,Medium,43.4,13.8,Normal,100,30
52,Male,Low,Low,High,60.6,16.7,Dry,35.8,70.2
21,Female,High,Low,High,36.7,13.2,Dry,76.7,15
42,Female,Medium,Medium,Low,57.9,20.2,Normal,100,24.8
46,Female,Low,Low,High,39.3,16.1,Dry,32.8,66
55,Male,Medium,Medium,Low,48.4,25.4,Oily,100,35
31,Female,Medium,Medium,Low,49.2,14.8,Normal,100,15
59,Male,Medium,Medium,Medium,49.5,27.2,Normal,92.4,42.1
53,Female,High,Low,Medium,29.4,17.1,Combination,83.1,43.8
51,Female,Low,Low,High,25.2,10.6,Dry,34.4,71
23,Male,High,Medium,Medium,35.3,18.8,Combination,100,15
48,Male,High,Medium,Medium,65.1,18.3,Normal,100,34.4
35,Male,Low,High,Medium,53.6,22.2,Oily,78.4,29.4
32,Male,Low,Low,Low,40.8,24.4,Combination,83.5,22.5
55,Male,Medium,High,Medium,38.7,24.9,Normal,86.5,35
29,Female,Medium,Medium,Medium,70.5,16.2,Normal,100,22.3
20,Female,Medium,Medium,Low,57.1,16.5,Normal,100,15
31,Female,High,Medium,Low,44.9,17,Normal,100,16.2
51,Female,Medium,Medium,Low,62.4,18.9,Normal,100,31
50,Male,High,Medium,Low,62.8,26,Normal,100,33.5
37,Male,Low,High,Medium,76.1,26.5,Oily,56.5,39.1
22,Male,Low,Low,High,44.3,12.3,Dry,55.9,27.3
53,Male,Low,High,High,55.6,17,Normal,39.4,67.5
41,Male,Medium,High,Low,74.9,28.4,Oily,97.1,23
33,Female,Medium,High,Medium,57.8,27,Oily,100,16.1
56,Male,Medium,High,Medium,80,25.2,Oily,81.1,37.3
58,Male,Low,Low,High,48.5,17.2,Dry,39.7,78
40,Female,Low,Low,High,27.2,19.3,Dry,33.4,60
40,Male,Low,Low,High,21,10.7,Dry,30.5,60
37,Female,High,Medium,Medium,43.2,19,Normal,100,19.5
53,Female,High,Low,High,51.6,22.4,Combination,81.1,38.8
53,Male,Low,High,Low,72.7,31.1,Oily,68.3,51.1
34,Female,High,Medium,Medium,56.6,14.6,Normal,100,15.6
34,Female,Medium,Medium,Low,46.3,16.4,Combination,100,15
50,Female,Medium,Medium,Low,54.4,17.2,Normal,100,34.8
43,Male,Low,Low,High,31.4,13.7,Dry,42.5,63
25,Male,Low,High,Medium,53,28.8,Normal,76.4,20.9
55,Female,Low,Low,High,28.7,14.9,Dry,21.7,75
48,Female,Low,Low,High,27.1,16.4,Dry,25.5,68
37,Female,Medium,High,Medium,43,23.4,Oily,100,24.8
59,Female,Medium,High,Low,67.2,21,Oily,95.6,39
30,Female,Low,Low,High,30.2,21.4,Dry,51.4,38.3
55,Female,Medium,Medium,Medium,67.6,18.4,Normal,99,35.6
31,Female,Medium,Medium,Medium,57.4,16.1,Normal,100,20.6
32,Male,Medium,High,High,39.3,16.1,Combination,85.7,23.3
53,Female,Medium,Medium,Medium,55.5,24.3,Normal,100,34.7
49,Male,Medium,High,Low,75.5,27.1,Oily,85.3,33.9
56,Male,Medium,Medium,Low,60.1,12.7,Normal,100,36
50,Male,Medium,Medium,Medium,44.7,26,Combination,99.9,36.3
50,Female,Low,Low,High,38.9,25.4,Dry,22.3,70
38,Female,Low,Low,High,33,12.8,Dry,35.4,58
28,Female,Low,Low,High,27.1,17.7,Dry,48.9,39.4
40,Female,Medium,Medium,Low,34,15.6,Normal,100,30.7
58,Female,Medium,Medium,Medium,41.3,19.2,Combination,96.2,39
54,Male,Medium,Medium,Low,50.9,25.2,Oily,100,34
54,Male,Low,High,Medium,79.5,28.9,Oily,47.8,59.2
47,Female,Low,Low,High,29.8,16.7,Dry,34.8,67
27,Female,Medium,Medium,Medium,54.8,21.5,Normal,100,15
31,Female,Medium,Medium,Low,60.6,16.3,Normal,100,18.7
25,Male,Low,Low,High,26.7,18.2,Dry,56.2,33.1
26,Male,Medium,Medium,Low,62.7,15.3,Normal,100,15
21,Female,Low,Low,High,26.4,16.9,Dry,41.3,31
26,Male,Low,High,Medium,77.8,29.6,Oily,61.8,28.8
40,Female,Low,High,Medium,72,27.7,Oily,67.2,40.5
38,Female,Low,High,Medium,33.3,27.5,Normal,65.7,35.6
43,Female,Medium,High,Medium,63.5,21.6,Combination,86.9,25.7
27,Female,Low,Medium,Medium,39,25.6,Combination,76.2,22
59,Female,Low,Low,High,28.3,13.8,Dry,15.6,79
50,Male,Low,High,Medium,57.7,27.2,Oily,59.1,47.6
43,Male,Medium,High,Low,59,29.5,Oily,98.6,23
18,Male,Low,Low,High,32.3,15,Dry,54.8,22.9
54,Female,High,Medium,Low,59.9,18.3,Normal,100,34
38,Male,Medium,High,Low,56.9,22.2,Oily,100,18.8
28,Male,Medium,High,Medium,73.9,29.6,Combination,90.9,15
33,Female,High,Medium,Low,56,14.3,Normal,100,15
18,Male,Low,Low,High,28.8,10,Dry,45.1,28
49,Male,Medium,Medium,Medium,48.9,26.9,Combination,96.4,36.7
54,Male,Medium,Medium,Low,58.2,14.6,Normal,100,34
26,Male,Low,High,Medium,70,27.2,Oily,71.8,26.8
56,Male,Low,High,Low,76.5,20.2,Oily,76.2,39.2
57,Male,Medium,Medium,Low,40.5,17.9,Normal,98.4,37
46,Male,High,Medium,Low,48.2,18.6,Combination,100,29.4
49,Male,Low,Low,Medium,59.7,18.6,Normal,74.9,49.2
29,Female,High,Medium,Low,47,24.8,Combination,100,15
39,Male,Medium,Medium,Low,57.6,28.2,Normal,100,22.9
52,Male,Medium,Medium,Medium,59.6,14.9,Normal,100,35.7
31,Female,High,Medium,Medium,47.7,14.1,Normal,100,15
55,Male,High,Medium,Medium,40.4,14.4,Normal,100,35
49,Male,Medium,High,Medium,65.8,21,Oily,93.1,34.5
42,Male,Low,High,Low,67.6,24.6,Oily,78.8,36.2
54,Female,Medium,High,Medium,55,26.1,Oily,95.3,34
46,Male,Low,High,Low,53.3,28.1,Oily,65.2,46.9
49,Female,High,Medium,Medium,34.6,16.9,Normal,100,36.6
23,Male,Low,High,Low,57.2,22.8,Oily,89.7,15
40,Female,Medium,Medium,Medium,44.8,33,Oily,100,31.6
28,Male,High,Medium,Medium,38.9,18.7,Normal,100,15
57,Male,Medium,Medium,Low,40,20.2,Oily,100,37
28,Male,Medium,Medium,Medium,47,16.5,Combination,100,16.5
56,Male,Low,Low,High,44.9,16.6,Dry,31.2,76
25,Male,Low,Low,High,31.5,16.4,Dry,45.4,30.8
53,Male,Medium,Medium,Low,57.4,23.2,Normal,100,33
49,Female,Medium,Medium,Medium,54.6,20.4,Normal,100,38.4
55,Female,Low,Low,High,29.4,14.2,Dry,31.2,75
55,Male,High,High,Low,63.5,17.1,Normal,100,35
46,Male,Medium,Medium,Low,32.9,16.5,Combination,98.8,34.4
27,Male,Low,High,Medium,74.9,20.2,Oily,78.7,26.7
26,Male,Low,High,Medium,77.4,25.1,Oily,67.8,26.2
23,Male,Low,Low,High,44.1,17.6,Dry,42.5,33
29,Male,Medium,High,Low,71.5,23,Oily,100,15
51,Male,Low,High,Low,80,23.8,Oily,56.8,52.8
53,Male,Low,High,Medium,75.4,21.3,Oily,69,52.6
55,Female,Low,Low,High,31,19.7,Dry,45.4,69.1
23,Male,Medium,High,Medium,68.6,28.2,Oily,100,15
26,Male,Low,Low,High,22.5,17.2,Dry,37.3,43.2
54,Female,Medium,Medium,Medium,70.7,21.6,Combination,94,35.3
19,Male,Medium,High,Medium,62.5,27.7,Oily,100,15
55,Male,Low,Low,High,22.3,14.6,Dry,19.2,75
46,Female,Low,Low,High,34.5,16.4,Dry,46.4,62.7
35,Female,Medium,High,Low,58,30,Oily,100,15
48,Male,Medium,Medium,Low,63.8,25.9,Oily,100,37.5
59,Female,Medium,High,Medium,69.5,19.9,Oily,94,39
44,Male,Low,Low,High,54.4,15.5,Oily,41.3,59
59,Female,High,Medium,Low,61.2,23,Normal,100,39
36,Male,Low,High,Medium,76,27.4,Oily,50,38.7
56,Female,Medium,Medium,Medium,63.6,24.1,Oily,89.5,36.2
50,Male,High,Medium,Low,39.1,20.7,Combination,100,34.5
33,Male,Medium,High,Low,38.5,26,Combination,100,15
39,Female,High,Medium,Low,52.5,14,Normal,100,19.2
58,Male,High,High,Medium,54.2,17.3,Oily,87.6,38
37,Male,Low,Low,High,52.3,29.2,Dry,45.5,45.8
37,Female,Low,Low,High,51.2,18,Dry,43.3,53.3
48,Male,Low,High,Medium,42.3,26.9,Oily,71.2,48
57,Female,High,Medium,Low,50,18.2,Normal,100,37
25,Male,Medium,High,Medium,64.9,26.6,Normal,98.9,15
35,Female,High,Medium,Low,62.7,26.6,Normal,100,15
22,Male,Low,High,Medium,80,20.7,Oily,80.9,17.3
46,Male,Medium,High,Medium,59.3,19.9,Oily,95.6,31.5
38,Female,Low,Low,High,24.8,14.1,Dry,18.2,58
59,Female,Medium,High,Low,52.2,26.4,Oily,97.2,39
27,Female,Low,Low,High,31.1,10.7,Dry,41.1,38.8
28,Male,Medium,High,Low,57.3,25.7,Normal,100,15
54,Male,Low,Low,High,24.6,15.7,Dry,26.9,74
22,Female,High,High,Medium,53.5,16.8,Combination,100,15
38,Male,Medium,Medium,Low,43,15.8,Normal,100,23
55,Male,Low,Low,High,25.1,14.7,Dry,29.1,75
54,Male,Medium,Medium,Low,31.4,16.3,Normal,100,34
21,Male,Medium,High,High,33.6,26,Dry,81,18.9
36,Female,Medium,Medium,High,47.3,25.5,Oily,94,27.4
57,Female,Medium,High,Medium,71.9,18.9,Oily,82.5,39.1
38,Female,High,Medium,Low,42,24.3,Normal,100,18
30,Female,Medium,Medium,Low,36.5,13.1,Normal,100,15
35,Male,Low,High,Medium,76.6,24.3,Oily,63.9,35.2
52,Female,Low,High,High,34.9,26.3,Combination,40.7,63.9
30,Male,High,Medium,Low,55.3,20.7,Normal,100,15
24,Female,High,Medium,Medium,32.4,15.4,Combination,100,15
57,Male,Low,High,Medium,80,19.3,Oily,52.1,61
56,Female,Medium,High,Medium,33.3,18.9,Combination,92.8,36
38,Male,Medium,High,Medium,76.4,23.6,Oily,85.9,22.6
25,Female,Low,Low,High,33.6,20.1,Dry,53.5,29.1
29,Male,Medium,Medium,Medium,64,14,Combination,100,16.2
51,Female,Medium,High,Medium,80,21.9,Oily,87.6,31
29,Male,Medium,Medium,Medium,42.8,14.8,Normal,100,16.3
25,Male,Low,High,Medium,72.3,21.6,Oily,76.4,21.8
36,Male,Medium,High,Low,73.3,23,Oily,97.7,16.7
25,Male,Medium,Medium,Medium,45,15.4,Oily,100,15
54,Female,Medium,Medium,Medium,35.7,26.7,Normal,96.6,34
57,Female,Low,Low,High,24.4,12.8,Dry,30.1,77
52,Male,Low,Low,High,26.5,12.5,Dry,30.1,72
19,Male,Medium,High,Low,61.8,22.9,Oily,100,15
55,Female,High,Medium,Medium,80,23.8,Combination,97.9,37.9
37,Male,Low,High,Medium,55.7,18.4,Combination,83.6,28.9
42,Female,Low,Low,High,25.9,16.8,Dry,38.9,59.9
53,Male,Low,High,Medium,74.9,20.2,Oily,64.3,54
52,Female,Medium,Medium,Low,63.6,20.3,Normal,100,33.1
55,Male,Low,Low,High,56.5,14.8,Dry,37.6,75
31,Male,Low,Low,High,29.6,13.8,Dry,35.1,51
47,Male,Low,Low,High,22.2,19.7,Dry,29.6,67
51,Male,Medium,Medium,Low,64.1,12.1,Normal,100,31
30,Female,High,Medium,Low,65.6,28.4,Normal,100,15
24,Male,High,Medium,High,27.9,15,Normal,93,15
55,Female,Medium,Medium,Medium,59.6,25.7,Normal,100,37.1
30,Male,Low,Low,High,42.6,28.6,Dry,44.2,40.9
34,Male,Medium,Medium,Low,43.8,25.1,Combination,100,16.7
23,Female,Medium,Medium,Low,55.8,17.1,Normal,100,15
52,Female,Low,High,Low,71.9,31.7,Oily,64.1,54.1
18,Male,High,Medium,Low,29.6,24.3,Combination,100,15
59,Male,Low,Low,High,22.3,11.6,Dry,21.9,79
41,Male,Medium,High,Medium,71,25.4,Normal,90.7,27.7
29,Female,Low,High,Medium,43,18.4,Dry,74.8,27.2
54,Male,Low,Low,High,26.7,17.1,Dry,28.8,74
53,Female,Low,High,Medium,51.3,26.9,Oily,74,49.9
56,Male,Medium,Medium,Medium,36.8,16.6,Normal,98.8,40.4
35,Female,Medium,High,Medium,80,24.4,Oily,85.5,17.1
55,Male,Low,High,Low,49,28.8,Oily,79.5,39.5
40,Male,Medium,Medium,Medium,39.9,14.8,Normal,100,27.8
54,Female,Medium,Medium,Medium,53.9,16.5,Normal,100,36.3
49,Female,Medium,High,Medium,55.2,24,Oily,86.9,36.3
27,Male,Low,Low,High,41.5,18,Dry,50.8,34.2
41,Male,Medium,Medium,Low,41.1,26.5,Combination,100,21.9
45,Male,Low,Low,High,43.9,26.1,Dry,39,65
46,Female,Medium,Medium,Low,39.4,18.7,Combination,100,31.9
54,Male,High,Medium,High,41.3,13.5,Combination,95.1,34
45,Male,Low,Low,High,29.2,15.8,Dry,35.9,65
59,Female,Medium,Medium,Medium,48,22.5,Normal,100,39
21,Male,Low,High,Low,79.4,29,Oily,81.4,16.3
34,Male,Low,Low,High,40.8,15.5,Dry,46.9,44.1
40,Male,Medium,High,Low,38.1,33.7,Oily,92.3,29.7
36,Female,High,Medium,Low,67.9,25.3,Normal,100,20.2
34,Male,Low,Medium,Low,48.2,23.8,Combination,95.8,24.1
57,Female,High,Medium,Medium,46.2,22.9,Normal,100,37
32,Female,Low,Low,Medium,40.8,16.6,Normal,69.4,30.3
40,Female,Low,Low,High,59.8,14.9,Dry,41.2,57.3
28,Female,High,Medium,Medium,38.4,16.4,Normal,100,17.9
24,Male,Low,Low,High,26.4,17.8,Dry,35,34
56,Male,Medium,Low,High,21.9,13.9,Dry,53.3,64
58,Male,Medium,High,Low,77.2,25.1,Oily,97.7,38
54,Male,Low,High,Low,49.1,33,Oily,72.3,51.3
28,Female,Medium,Medium,Low,49,17,Normal,100,15
56,Male,Low,High,Low,58.9,23.8,Oily,70,53.6
38,Female,High,Low,High,56.4,19.9,Normal,90.4,29.4
56,Female,Medium,Medium,Low,60.6,18.5,Normal,100,36.3
28,Male,Medium,High,Medium,50.9,18.1,Oily,100,16.7
37,Male,Medium,Medium,Medium,60.4,13.1,Normal,100,26.1
22,Male,Medium,High,Low,60.3,32.8,Oily,100,15
56,Male,Low,Low,High,48.3,15.5,Dry,35.9,76
41,Male,Medium,High,Medium,61.7,23.5,Oily,98.8,24.6
52,Female,Low,Low,High,33.3,12.8,Dry,31.4,72
19,Male,Medium,Medium,Low,44.4,29.5,Combination,100,15
27,Female,Low,Low,Medium,66,15.6,Normal,69.5,25.5
53,Female,Medium,Medium,Medium,39.6,15.9,Normal,97.8,37.1
46,Male,Low,Low,Medium,20.9,17.4,Dry,47.8,55.7
37,Female,Medium,High,Medium,78.9,33,Oily,78.4,29
53,Female,Medium,Medium,Medium,67.8,19.6,Normal,98.8,33
50,Male,Low,Medium,Low,54.2,16.7,Combination,76.7,45.1
54,Female,Low,Low,High,29.9,17.7,Dry,37.4,74
35,Female,High,Medium,Low,55.1,21.8,Combination,100,16.4
45,Male,Medium,Medium,Low,64.3,16.4,Normal,100,35.8
47,Female,Medium,Medium,Low,51.1,15.7,Normal,100,27.6
42,Male,Low,High,Low,76.9,27.6,Oily,67.7,38.1
52,Male,Low,Low,High,36.2,16.9,Dry,34.8,72
26,Male,Low,Low,High,29.8,20.5,Dry,44.5,41.2
51,Male,Low,High,Medium,78.7,27.9,Oily,54.8,54.9
43,Male,High,Medium,Medium,46.3,19.7,Normal,100,23.2
29,Female,High,Medium,Low,59.6,18.7,Normal,100,15
53,Male,Medium,Medium,Medium,38.3,27,Combination,90.7,34.4
48,Male,Low,Medium,High,42.8,12.9,Normal,58,59.1
28,Female,Medium,Low,High,62.6,15.1,Oily,73.6,26.6
56,Male,Medium,Medium,Medium,39,19.6,Normal,93.9,36
24,Female,Low,Low,High,29,10.2,Dry,41.1,34
42,Male,High,Medium,Low,34.1,17,Normal,100,22.2
27,Male,Medium,Medium,Low,43.4,17.2,Normal,100,15
53,Female,Low,Low,High,27,18.5,Combination,40.5,73
54,Male,Medium,High,Low,67.1,24.6,Combination,90.7,34
27,Male,Low,High,Medium,80,20.9,Oily,62.8,29.5
27,Male,Low,Low,High,32,15.7,Dry,30.4,45.9
26,Female,Low,High,Medium,21.6,28.4,Combination,64.2,29.1
38,Male,Low,Low,High,25.6,16,Dry,37.4,58
28,Female,Medium,High,Medium,20,23,Oily,97.8,17.5
34,Male,Medium,High,Medium,27,17.8,Oily,94.2,15
29,Male,Low,Low,High,30.7,15.1,Combination,37.3,47.3
56,Male,Medium,Low,High,39.6,16.3,Combination,68.3,57.5
29,Female,High,Medium,Low,46.8,15.1,Normal,100,15
18,Male,Low,Low,High,32.4,26.5,Dry,45.9,24.6
52,Male,Medium,High,Medium,48.5,30.5,Combination,93.8,33.9
29,Female,High,Medium,Low,26.6,15.2,Normal,100,15
45,Male,Medium,High,Medium,48.3,28.8,Oily,88.5,28.1
31,Female,High,High,Medium,39.8,21,Oily,100,15
38,Male,Low,Low,High,25.9,19.9,Dry,36,57.9
53,Male,Medium,High,Medium,80,24,Oily,88.4,34.9
42,Female,Medium,High,Medium,67.6,20.2,Oily,99.6,24.5
52,Male,Medium,Medium,Low,52.4,18.3,Combination,100,32
31,Male,Low,Low,High,27.4,17.8,Dry,38.4,46.1
36,Female,Medium,Medium,Low,55.9,17.1,Normal,100,23.7
27,Female,Low,Low,High,29.8,10,Dry,33.1,47
32,Male,Low,Low,High,44,28,Combination,49.8,39.1
40,Male,Medium,Medium,Medium,52.4,26.2,Normal,100,28.6
43,Male,Medium,High,Medium,63.1,18.2,Oily,98.5,27.9
44,Male,Low,High,Low,64.1,25.5,Oily,78.2,36.8
20,Male,Medium,Medium,Low,55.5,24.7,Normal,100,15
54,Male,High,Medium,Low,46,18.1,Normal,100,34
28,Female,High,Medium,Low,45,23.2,Normal,100,15
44,Female,Low,Low,High,32.6,28,Dry,39.5,61.5
37,Male,Low,Low,High,44.7,31.1,Dry,50.7,48.8
35,Female,Low,Low,High,29.8,17.6,Dry,29.6,55
47,Female,Medium,Medium,Medium,53,19.7,Normal,100,38
27,Female,High,Medium,Medium,23.6,15.6,Normal,100,16.5
46,Male,Low,Medium,Low,25.4,17.2,Normal,76.7,41.4
45,Male,Medium,Medium,Medium,61.4,24.5,Combination,100,33.7
27,Female,Medium,Medium,Low,38.3,16.3,Normal,100,15
37,Female,Low,Low,High,33.6,11.9,Dry,33.3,57
54,Female,High,Medium,Medium,39.6,13.1,Normal,98.9,34
54,Female,Medium,Medium,Low,60,15.5,Normal,100,34
41,Male,Low,Low,High,31.8,17,Dry,37.1,61
55,Female,High,Medium,Medium,44.9,14.7,Combination,100,35
58,Female,High,Medium,Medium,57.2,20.7,Normal,100,38
24,Male,Low,Low,High,32.4,16.2,Dry,48.1,32.8
56,Male,Low,High,Medium,66.5,24.8,Oily,59,59.4
50,Male,Low,High,Medium,44.1,24.9,Oily,65,47.5
59,Male,Medium,High,Low,50.7,28.5,Oily,94.4,39
54,Male,High,Medium,Low,62.5,20.8,Normal,100,34
45,Male,Medium,Medium,Low,58.2,16.2,Normal,100,25.2
25,Male,Low,Low,High,29.7,17,Dry,48.3,36.2
26,Female,Medium,Medium,Medium,59.1,12.7,Normal,100,15
36,Female,Medium,Medium,Medium,47.9,21.9,Normal,100,24.8
57,Female,Low,Low,High,27.6,16.3,Dry,37.8,77
52,Male,Medium,Medium,Low,51.9,15,Normal,100,32
45,Male,Low,Low,High,24.8,14.8,Dry,31.7,65
59,Male,Low,High,Low,80,31.1,Oily,60.4,65.4
20,Male,Low,Low,High,47.8,13,Dry,43.8,30
25,Female,Low,Low,High,73.3,12.9,Dry,40,39.7
42,Female,Medium,High,Medium,65.9,15,Normal,95.2,23.3
49,Male,Low,Low,High,28.3,10,Dry,34.5,69
22,Male,Medium,Medium,Low,60.3,19.7,Normal,100,15
52,Male,Medium,High,Low,75.7,26,Oily,91.6,32
26,Female,Low,Low,High,28,16,Dry,45.5,39.4
38,Female,Low,Low,High,26.4,17.1,Dry,32.2,58
25,Female,High,Medium,Medium,47.4,18.4,Normal,100,15
41,Male,Low,High,Low,48.5,18.8,Oily,86.1,25
56,Male,Medium,Medium,High,26.9,20.2,Oily,68.3,52.8
31,Male,Medium,High,Low,65.7,26.3,Combination,100,15
38,Male,Low,Low,High,32.2,17.1,Dry,40.3,55.3
55,Male,Medium,High,Medium,50.5,26.2,Oily,94.9,35
26,Male,Low,Low,High,24.2,15.5,Dry,41.1,44.9
50,Female,Low,Low,High,27.5,16.5,Dry,34.9,70
42,Female,Medium,Medium,Medium,38.8,22.4,Normal,100,30.1
55,Male,Low,Low,High,43.1,17.8,Combination,48.3,70.9
46,Male,Medium,High,Low,76,30.6,Oily,96.8,28.3
30,Female,High,Medium,Medium,58.5,16.4,Normal,100,15
28,Female,Medium,Medium,Medium,57.7,14,Normal,100,16.6
33,Female,Low,High,Low,57.8,31.3,Oily,92.4,21
54,Male,Low,Low,High,20.9,19.7,Dry,21.6,74
27,Male,Low,Low,High,24,15.6,Dry,41.4,43.4
32,Male,High,Medium,Low,51,15.2,Normal,100,15
56,Female,Low,Low,High,29.3,14.2,Dry,16.4,76
38,Female,Low,High,Medium,38.8,25.5,Combination,76.4,32.4
20,Female,Low,Low,High,33.4,33.8,Combination,43.6,30
45,Male,High,Medium,Medium,51.7,13,Normal,100,29.8
40,Female,Low,Low,High,30,14.4,Dry,38.9,56.5
52,Female,Low,Low,High,26.4,25.2,Dry,34,72
27,Male,Low,High,High,37.2,19.1,Oily,53,33.8
32,Female,High,Medium,Low,57.9,21.7,Normal,100,15
28,Male,Low,High,Medium,74.2,18.9,Oily,80.9,24.3
43,Female,Low,Low,High,23.1,20.6,Dry,43.2,63
53,Female,Medium,Medium,Medium,33.6,22.9,Normal,91.1,35.5
30,Male,High,Medium,Medium,59.9,16.8,Normal,100,15
54,Male,Low,Low,High,31.5,16.3,Dry,42.8,73.7
25,Male,Medium,Medium,Low,49.7,28.3,Normal,100,15
25,Male,Low,High,Medium,42.6,22.2,Oily,91.1,17.1
47,Male,Medium,Low,High,27.2,16.4,Combination,72.6,50.3
51,Male,Medium,Medium,Medium,46.2,13.6,Normal,97.4,31
28,Female,Low,High,High,48.2,18.4,Oily,57.6,34.9
53,Female,Medium,Medium,Medium,55.8,23.7,Normal,100,33.2
47,Female,Medium,High,High,43.8,26.2,Oily,67.5,43.8
51,Male,Low,High,Medium,80,17.2,Oily,61.9,51.8
25,Male,Medium,Low,High,39.7,20.8,Normal,90.4,21.3
22,Female,High,High,Medium,67.7,28.6,Oily,100,15
26,Female,Medium,Medium,Low,57.4,21.7,Normal,100,15
19,Female,Medium,Medium,Medium,44.2,28.5,Normal,100,15
47,Female,Medium,Medium,Low,51.6,22,Normal,100,32.7
46,Male,Medium,Medium,Low,77.2,30.4,Oily,100,37.2
54,Male,Medium,High,Low,32.9,27.7,Oily,100,34
29,Male,Medium,Medium,Low,53.7,24.6,Combination,100,15
31,Male,Medium,Medium,Low,49.7,17.2,Normal,100,18.1
44,Female,Low,Low,High,30.3,19,Dry,39.2,64
40,Male,Medium,Medium,Low,70.5,18.5,Combination,100,26.6
55,Male,Medium,High,Low,58.6,27.4,Oily,93.7,35
56,Male,Medium,High,Low,74.9,24.4,Oily,90.5,36
24,Male,Low,Low,High,40.8,19.1,Dry,66.3,28.8
41,Female,Low,Low,High,30.3,19.2,Dry,35.2,57.3
46,Male,Medium,Medium,Medium,43.6,26.1,Normal,100,30.9
37,Male,Medium,Medium,Medium,36.6,17.2,Normal,96.6,25.8
28,Male,Low,Low,High,27.8,15.8,Dry,49.1,39.6
29,Male,Medium,Medium,Low,65.7,12.7,Normal,100,21.1
49,Male,Medium,Medium,Medium,69.4,15.9,Normal,100,37.6
29,Female,Low,High,Low,60.4,18.3,Oily,80,24.4
29,Male,Low,Low,High,31.8,10.6,Dry,40.4,36.6
20,Male,Low,Low,High,33,15.4,Dry,44.2,30
26,Male,Low,High,Medium,79.4,22.3,Oily,76,20.3
42,Male,Low,Low,High,24.8,16,Dry,28.4,62
18,Female,Low,High,Low,45.3,23.6,Dry,86,15
24,Female,Low,Low,Medium,48.6,19.3,Oily,74.4,26.1
48,Male,Low,Low,High,48.3,15.6,Dry,37.8,68
53,Female,Low,Low,High,32.2,10.2,Dry,35.3,73
54,Male,Medium,Low,Low,77.4,27.1,Oily,83.2,40.5
45,Male,Low,Medium,High,29.7,15.5,Oily,49.2,60.2
57,Male,Low,High,Low,53.3,26.5,Oily,76.7,37.9
53,Male,Low,Low,High,41.7,14.9,Dry,50.9,66.4
27,Male,High,Medium,Low,49.8,18.7,Normal,100,15
54,Female,Medium,High,Medium,45.2,16.9,Normal,92.9,34
21,Male,Medium,Medium,Low,37.4,16.2,Normal,100,15
57,Male,Low,Low,High,22.3,18.4,Dry,28.4,77
33,Female,Medium,High,Medium,44.7,28.9,Combination,100,22.4
53,Male,Medium,High,Low,39.7,26.7,Combination,92.2,33
33,Male,Medium,High,Medium,44.5,24.6,Oily,94.4,21.7
28,Female,Medium,High,Low,36.9,32.6,Oily,100,16
37,Female,Low,High,Medium,51.7,14.4,Oily,69.8,37.3
58,Male,Low,High,Low,80,25.1,Oily,64.5,56.5
34,Male,Medium,Medium,Low,58.3,22.8,Normal,100,19.4
53,Female,Medium,Medium,Low,55.4,14.7,Normal,96.7,33
36,Male,Low,Low,High,29.5,11.9,Dry,31.1,56
46,Female,Medium,Medium,Low,55.9,29.3,Oily,100,33.6
33,Male,Low,Low,High,25.6,13,Dry,34,50.1
36,Male,Medium,High,Low,77,22.6,Oily,100,19.3
48,Female,Medium,Medium,Low,35.4,17.6,Combination,100,35.6
42,Male,Medium,Medium,Low,48.1,19.2,Normal,100,23.8
59,Male,Low,High,Medium,80,23.7,Oily,55.7,60.5
39,Female,Medium,High,Medium,78.9,23.9,Oily,92.3,21
46,Male,Medium,High,Low,51.3,34.5,Oily,98.1,28.6
55,Male,High,Medium,Low,46.9,15.4,Normal,100,35
35,Male,High,Medium,High,47.6,14.6,Normal,95.6,21.5
46,Male,Low,Low,High,37.1,12,Dry,24.7,66
35,Female,High,Medium,Low,56.9,17.1,Normal,100,18.2
33,Female,Medium,High,Medium,54.7,16.4,Combination,95.4,15.6
24,Female,Low,Low,High,30.3,16,Dry,50.8,32.1
59,Male,Medium,High,Medium,60.6,23.7,Combination,84.3,45.5
42,Female,Medium,Medium,Medium,63.2,21.9,Normal,100,33.3
43,Female,High,Medium,Medium,40.6,16.2,Normal,100,25
48,Female,High,High,Medium,54.4,20.3,Combination,94.9,28
27,Male,Medium,Medium,Medium,77,21.3,Combination,100,16.8
44,Male,Low,High,Medium,38.9,16.7,Oily,70.2,44
21,Female,Low,High,Medium,80,26.7,Oily,73.4,18.4
57,Male,Medium,Medium,Medium,54,14.6,Normal,88.6,37
51,Male,High,Medium,Low,39.9,17.7,Normal,100,31
34,Female,Medium,High,Medium,65.5,15.3,Oily,97.4,19.6
57,Female,Low,Low,High,31.4,10,Dry,20.2,77
22,Male,Low,Low,High,43.4,17.3,Combination,50.1,28.4
54,Male,Low,Low,High,37.6,15.5,Combination,29.2,74
35,Female,Low,Low,High,43.9,18.1,Dry,48.2,43.8
56,Male,Medium,Medium,Medium,58.5,17.2,Normal,100,42.4
21,Female,Medium,Medium,Low,49,17.6,Normal,100,15
32,Female,Low,Low,High,27.7,15.2,Dry,35.1,51.2
31,Male,Low,Low,High,31.9,17.5,Dry,39.3,45.8
22,Male,Low,Low,High,47.5,14.5,Combination,51.8,27.2
